Guadua stand,Maturity,Culm number,Culm length(m),Circumference (cm2),DIH (cm),DIH (m),,,,,,,
2,SM,182,14.121,31.7,10.090,0.101,,,,,,,
2,SM,183,14.211,32,10.186,0.102,,,,,,,
2,SM,184,13.874,30.9,9.836,0.098,,,,,,,
2,SM,185,15.531,36.8,11.714,0.117,,,,,,,
2,SM,186,13.905,31,9.868,0.099,,,,,,,
2,SM,187,13.257,29,9.231,0.092,,,,,,,
2,SM,188,13.905,31,9.868,0.099,,,,,,,
2,SM,189,14.211,32,10.186,0.102,,,,,,,
2,SM,190,15.327,36,11.459,0.115,,,,,,,
2,SM,191,15.170,35.4,11.268,0.113,,,,,,,
2,SM,192,9.713,20.2,6.430,0.064,,,,,,,
2,SM,193,12.031,25.6,8.149,0.081,,,,,,,
2,SM,194,13.811,30.7,9.772,0.098,,,,,,,
2,SM,195,13.652,30.2,9.613,0.096,,,,,,,
2,SM,196,15.009,34.8,11.077,0.111,,,,,,,
2,SM,197,14.621,33.4,10.632,0.106,,,,,,,
2,SM,198,15.506,36.7,11.682,0.117,,,,,,,
2,SM,199,12.592,27.1,8.626,0.086,,,,,,,
2,SM,200,12.983,28.2,8.976,0.090,,,,,,,
2,SM,201,15.705,37.5,11.937,0.119,,,,,,,
2,SM,202,14.181,31.9,10.154,0.102,,,,,,,
2,SM,203,15.531,36.8,11.714,0.117,,,,,,,
2,SM,204,16.513,41,13.051,0.131,,,,,,,
2,SM,205,14.535,33.1,10.536,0.105,,,,,,,
2,SM,206,15.196,35.5,11.300,0.113,,,,,,,
2,SM,207,13.087,28.5,9.072,0.091,,,,,,,
2,SM,208,13.189,28.8,9.167,0.092,,,,,,,
2,SM,209,15.898,38.3,12.191,0.122,,,,,,,
2,SM,210,15.631,37.2,11.841,0.118,,,,,,,
2,SM,211,15.922,38.4,12.223,0.122,,,,,,,
2,SM,212,14.060,31.5,10.027,0.100,,,,,,,
2,SM,213,13.716,30.4,9.677,0.097,,,,,,,
2,SM,214,11.718,24.8,7.894,0.079,,,,,,,
2,SM,215,14.301,32.3,10.281,0.103,,,,,,,
2,SM,216,11.436,24.1,7.671,0.077,,,,,,,
2,SM,217,14.734,33.8,10.759,0.108,,,,,,,
2,SM,218,13.018,28.3,9.008,0.090,,,,,,,
2,SM,219,11.993,25.5,8.117,0.081,,,,,,,
2,SM,220,14.592,33.3,10.600,0.106,,,,,,,
2,SM,221,13.223,28.9,9.199,0.092,,,,,,,
2,SM,222,13.457,29.6,9.422,0.094,,,,,,,
2,SM,223,12.843,27.8,8.849,0.088,,,,,,,
2,SM,224,12.843,27.8,8.849,0.088,,,,,,,
2,SM,225,14.649,33.5,10.663,0.107,,,,,,,
2,SM,226,14.090,31.6,10.059,0.101,,,,,,,
3,SM,227,14.706,33.7,10.727,0.107,,,,,,,
3,SM,228,15.922,38.4,12.223,0.122,,,,,,,
3,SM,229,15.631,37.2,11.841,0.118,,,,,,,
3,SM,230,15.249,35.7,11.364,0.114,,,,,,,
3,SM,231,16.933,43,13.687,0.137,,,,,,,
3,SM,232,14.845,34.2,10.886,0.109,,,,,,,
3,SM,233,14.241,32.1,10.218,0.102,,,,,,,
3,SM,234,9.617,20,6.366,0.064,,,,,,,
3,SM,235,15.249,35.7,11.364,0.114,,,,,,,
3,SM,236,14.419,32.7,10.409,0.104,,,,,,,
3,SM,237,15.429,36.4,11.586,0.116,,,,,,,
3,SM,238,13.257,29,9.231,0.092,,,,,,,
3,SM,239,13.018,28.3,9.008,0.090,,,,,,,
3,SM,240,14.535,33.1,10.536,0.105,,,,,,,
3,SM,241,14.928,34.5,10.982,0.110,,,,,,,
3,SM,242,15.301,35.9,11.427,0.114,,,,,,,
3,SM,243,12.519,26.9,8.563,0.086,,,,,,,
3,SM,244,14.477,32.9,10.472,0.105,,,,,,,
3,SM,245,15.946,38.5,12.255,0.123,,,,,,,
3,SM,246,11.876,25.2,8.021,0.080,,,,,,,
3,SM,247,8.878,18.5,5.889,0.059,,,,,,,
3,SM,248,14.211,32,10.186,0.102,,,,,,,
3,SM,249,11.395,24,7.639,0.076,,,,,,,
3,SM,250,12.108,25.8,8.212,0.082,,,,,,,
